TT,Học kỳ,Tên học phần,Ký hiệu,Mã HP,Số tín chỉ,Tự chọn,HT ĐA,TQ ĐA,Quan hệ về trình tự học với các học phần khác:,,
59,6,Phân tích & T.kế hướng đối tượng,,1020141,2,,X,,1023720- Lập trình hướng đối tượng,,
60,6,Quản lý dự án CNTT,,1021783,2,,X,,,1020252- Công nghệ phần mềm,
61,6,PBL 5: Dự án Công nghệ phần mềm,,1023900,3,,X,,,1020252- Công nghệ phần mềm,
,,,,,,,X,,,1023880- Lập trình mạng,
62,7,Tiếng Nhật 7 (CNTT),,5070090,1,,X,,,,
63,7,Quản trị mạng,,1023910,3,,X,,1020292- Mạng máy tính,,
64,7,TH Quản trị mạng (1TC),,1023930,0,,X,,,1023910- Quản trị mạng,
65,7,Học máy và ứng dụng,,1023140,2,,X,,1020313- Trí tuệ nhân tạo,,
66,7,Kiểm thử phần mềm,,1020413,2,,X,,1020252- Công nghệ phần mềm,,
67,7,Các hệ thống đa phương tiện,,1021863,2,Chọn 2 trong 11,X,,1022470- Xử lý tín hiệu số,,
68,7,An toàn Thông tin mạng,,1020503,2,Chọn 2 trong 11,X,,1020292- Mạng máy tính,,
69,7,Chuyên đề công nghệ,,1023603,2,Chọn 2 trong 11,X,,1023703- Lập trình .NET,,
,,,,,,Chọn 2 trong 11,X,,1023713- Lập trình Java,,
70,7,Xử lý song song,,1020553,2,Chọn 2 trong 11,X,,,1023910- Quản trị mạng,
71,7,Lập trình mạng nâng cao,,1020533,2,Chọn 2 trong 11,X,,1023880- Lập trình mạng,1023910- Quản trị mạng,
72,7,Hệ thống thời gian thực,,1021603,2,Chọn 2 trong 11,X,,1020292- Mạng máy tính,,
73,7,Kiến trúc hướng dịch vụ,,1021893,2,Chọn 2 trong 11,X,,1023880- Lập trình mạng,,
74,7,Phân tích và xử lý mã độc,,1022703,2,Chọn 2 trong 11,X,,1020292- Mạng máy tính,,
75,7,Thị giác máy tính,,1021673,2,Chọn 2 trong 11,X,,1022863- Kỹ thuật lập trình,,
76,7,Hệ phân tán,,1020523,2,Chọn 2 trong 11,X,,,1023910- Quản trị mạng,
77,7,Khai phá dữ liệu,,1022053,2,Chọn 2 trong 11,X,,1020102- Cơ sở dữ liệu,,
78,7,PBL 6: Dự án chuyên ngành 1,,1023920,3,,X,,,1020413- Kiểm thử phần mềm,
,,,,,,,X,,,1023140- Học máy và ứng dụng,
,,,,,,,X,,,1023910- Quản trị mạng,
79,7,Thực tập Tốt nghiệp (CNTT),,1022603,2,,X,X,1022933- PBL1: Dự án lập trình tính toán,1023920- PBL 6: Dự án chuyên ngành 1,
,,,,,,,X,,1023690- PBL 2: Dự án cơ sở lập trình,,
,,,,,,,X,,1023740- PBL 3: Đồ án lập trình ứng dụng,,
,,,,,,,X,,1023870- PBL 4: Dự án Hệ thống thông minh,,
,,,,,,,X,,1023900- PBL 5: Dự án Công nghệ phần mềm,,
80,8,Đồ án Tốt nghiệp,,1023190,6,,X,,,,1022603- Thực tập Tốt nghiệp (CNTT)
